NAME,SMILES,PROPERTY
DTXSID10305275,OC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.17687E-07
DTXSID40568997,[O-][N+](=O)C1=CC=CC(=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.14E-07
DTXSID60382071,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.39637E-06
DTXSID60594096,FC(Br)=C(C(F)(F)F)C(F)(F)F,6.3387E-05
DTXSID60702452,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,1.25026E-06
DTXSID50840837,FC1(F)CC2=C(C=CC3=CC=CC=C23)C1(F)F,3.28852E-06
DTXSID40531247,FC(F)(F)N1C(F)(F)N(C(F)(F)F)C(F)(F)C1(F)F,0.000716143
DTXSID40379666,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)[Si](C)(C)C,4.53942E-05
DTXSID0068523,CN(CCOC(=O)C=C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.66686E-06
DTXSID30810457,CC(C)SC(=O)C(F)(F)C(F)(F)F,0.00188799
DTXSID70231581,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC2=C(C=C1)C1=C(C2)C=CC=C1OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.20869E-09
DTXSID60367287,NC1=CC(=CC(N)=C1)C(F)(F)C(F)(F)C(F)(F)F,5.95662E-05
DTXSID9059965,FC(F)(F)C(F)(F)C#N,0.00159221
DTXSID10758323,FN1C2=C(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(C(F)(F)F)C(F)(F)C1(F)F,7.03072E-07
DTXSID80377686,COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.09396E-05
DTXSID70334445,FC(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,2.05116E-05
DTXSID9059830,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,2.20293E-06
DTXSID10471560,CN1C=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.94292E-06
DTXSID80285772,FC(F)(F)C(F)(F)C(=O)C1=CC=CC=C1,4.93174E-05
DTXSID40826029,CC(C)(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(O)=O,0.000532108
DTXSID30374140,FC(F)(CBr)C(F)(F)C(F)(F)CBr,8.8308E-05
DTXSID30303697,CC(C(=O)C1=CC=CC=C1)C(O)(C(F)(F)F)C(F)(F)F,1.52055E-05
DTXSID1073490,FCOC(F)(F)C(F)F,0.0316957
